Esus4 [0, 0, 'X', 'X', 0, 0]
Fmaj7b5 [0, 0, 'X', 'X', 0, 1]
F#sus2sus4 [0, 0, 'X', 'X', 0, 2]
Fmaj7 [0, 0, 'X', 'X', 1, 1]
F#m7b5 [0, 0, 'X', 'X', 1, 2]
Gm7 [0, 0, 'X', 'X', 1, 3]
Fmaj7#5 [0, 0, 'X', 'X', 2, 1]
F#6 [0, 0, 'X', 'X', 2, 2]
G7 [0, 0, 'X', 'X', 2, 3]
G7 [0, 1, 'X', 'X', 1, 3]
F#7 [0, 1, 'X', 'X', 2, 2]
Gdim7 [0, 1, 'X', 'X', 2, 3]
Gm7b5 [0, 1, 'X', 'X', 3, 3]
F#sus4 [0, 2, 'X', 'X', 0, 2]
F#maj7b5 [0, 2, 'X', 'X', 1, 2]
Gmaj7 [0, 2, 'X', 'X', 1, 3]
F#sus2sus4 [0, 2, 'X', 'X', 2, 2]
Gm7b5 [0, 2, 'X', 'X', 2, 3]
Gm7 [0, 2, 'X', 'X', 3, 3]
Emaj7b5 [1, 0, 'X', 'X', 0, 0]
F-5 [1, 0, 'X', 'X', 0, 1]
Emaj7 [1, 0, 'X', 'X', 1, 0]
Fmaj [1, 0, 'X', 'X', 1, 1]
Gadd9 [1, 0, 'X', 'X', 1, 3]
Emaj7#5 [1, 0, 'X', 'X', 2, 0]
Faug [1, 0, 'X', 'X', 2, 1]
F#mmaj7 [1, 0, 'X', 'X', 2, 2]
Fsus4 [1, 1, 'X', 'X', 1, 1]
F#maj7b5 [1, 1, 'X', 'X', 1, 2]
Gsus2sus4 [1, 1, 'X', 'X', 1, 3]
F#maj7 [1, 1, 'X', 'X', 2, 2]
Gm7b5 [1, 1, 'X', 'X', 2, 3]
G#m7 [1, 1, 'X', 'X', 2, 4]
F#maj7#5 [1, 1, 'X', 'X', 3, 2]
G6 [1, 1, 'X', 'X', 3, 3]
G#7 [1, 1, 'X', 'X', 3, 4]
G#7 [1, 2, 'X', 'X', 2, 4]
G7 [1, 2, 'X', 'X', 3, 3]
G#dim7 [1, 2, 'X', 'X', 3, 4]
G#m7b5 [1, 2, 'X', 'X', 4, 4]
Gsus4 [1, 3, 'X', 'X', 1, 3]
Gmaj7b5 [1, 3, 'X', 'X', 2, 3]
G#maj7 [1, 3, 'X', 'X', 2, 4]
Gsus2sus4 [1, 3, 'X', 'X', 3, 3]
G#m7b5 [1, 3, 'X', 'X', 3, 4]
G#m7 [1, 3, 'X', 'X', 4, 4]
E7sus4 [2, 0, 'X', 'X', 0, 0]
Em7b5 [2, 0, 'X', 'X', 1, 0]
F#dim [2, 0, 'X', 'X', 1, 2]
Em7 [2, 0, 'X', 'X', 2, 0]
Fmmaj7 [2, 0, 'X', 'X', 2, 1]
F#m [2, 0, 'X', 'X', 2, 2]
Fmaj7b5 [2, 1, 'X', 'X', 1, 1]
F#-5 [2, 1, 'X', 'X', 1, 2]
E7 [2, 1, 'X', 'X', 2, 0]
Fmaj7 [2, 1, 'X', 'X', 2, 1]
F#maj [2, 1, 'X', 'X', 2, 2]
G#add9 [2, 1, 'X', 'X', 2, 4]
Fmaj7#5 [2, 1, 'X', 'X', 3, 1]
F#aug [2, 1, 'X', 'X', 3, 2]
Gmmaj7 [2, 1, 'X', 'X', 3, 3]
Esus4 [2, 2, 'X', 'X', 0, 0]
Emaj7b5 [2, 2, 'X', 'X', 1, 0]
E7sus4 [2, 2, 'X', 'X', 2, 0]
F#sus4 [2, 2, 'X', 'X', 2, 2]
Gmaj7b5 [2, 2, 'X', 'X', 2, 3]
G#sus2sus4 [2, 2, 'X', 'X', 2, 4]
Gmaj7 [2, 2, 'X', 'X', 3, 3]
G#m7b5 [2, 2, 'X', 'X', 3, 4]
Am7 [2, 2, 'X', 'X', 3, 5]
Gmaj7#5 [2, 2, 'X', 'X', 4, 3]
G#6 [2, 2, 'X', 'X', 4, 4]
A7 [2, 2, 'X', 'X', 4, 5]
Emaj7b5 [2, 3, 'X', 'X', 0, 0]
E-5 [2, 3, 'X', 'X', 1, 0]
A7 [2, 3, 'X', 'X', 3, 5]
G#7 [2, 3, 'X', 'X', 4, 4]
Adim7 [2, 3, 'X', 'X', 4, 5]
Am7b5 [2, 3, 'X', 'X', 5, 5]
G#sus4 [2, 4, 'X', 'X', 2, 4]
G#maj7b5 [2, 4, 'X', 'X', 3, 4]
Amaj7 [2, 4, 'X', 'X', 3, 5]
G#sus2sus4 [2, 4, 'X', 'X', 4, 4]
Am7b5 [2, 4, 'X', 'X', 4, 5]
Am7 [2, 4, 'X', 'X', 5, 5]
Em7 [3, 0, 'X', 'X', 1, 0]
Fadd9 [3, 0, 'X', 'X', 1, 1]
E7 [3, 0, 'X', 'X', 2, 0]
E7 [3, 1, 'X', 'X', 1, 0]
F7sus4 [3, 1, 'X', 'X', 1, 1]
Edim7 [3, 1, 'X', 'X', 2, 0]
Fm7b5 [3, 1, 'X', 'X', 2, 1]
Gdim [3, 1, 'X', 'X', 2, 3]
Em7b5 [3, 1, 'X', 'X', 3, 0]
Fm7 [3, 1, 'X', 'X', 3, 1]
F#mmaj7 [3, 1, 'X', 'X', 3, 2]
Gm [3, 1, 'X', 'X', 3, 3]
Emaj7 [3, 2, 'X', 'X', 1, 0]
Em7b5 [3, 2, 'X', 'X', 2, 0]
F#maj7b5 [3, 2, 'X', 'X', 2, 2]
G-5 [3, 2, 'X', 'X', 2, 3]
E6 [3, 2, 'X', 'X', 3, 0]
F7 [3, 2, 'X', 'X', 3, 1]
F#maj7 [3, 2, 'X', 'X', 3, 2]
Gmaj [3, 2, 'X', 'X', 3, 3]
Aadd9 [3, 2, 'X', 'X', 3, 5]
F#maj7#5 [3, 2, 'X', 'X', 4, 2]
Gaug [3, 2, 'X', 'X', 4, 3]
G#mmaj7 [3, 2, 'X', 'X', 4, 4]
Emaj7 [3, 3, 'X', 'X', 0, 0]
Emaj [3, 3, 'X', 'X', 1, 0]
Fsus4 [3, 3, 'X', 'X', 1, 1]
Fmaj7b5 [3, 3, 'X', 'X', 2, 1]
Eadd9 [3, 3, 'X', 'X', 3, 0]
F7sus4 [3, 3, 'X', 'X', 3, 1]
Gsus4 [3, 3, 'X', 'X', 3, 3]
G#maj7b5 [3, 3, 'X', 'X', 3, 4]
Asus2sus4 [3, 3, 'X', 'X', 3, 5]
G#maj7 [3, 3, 'X', 'X', 4, 4]
Am7b5 [3, 3, 'X', 'X', 4, 5]
A#m7 [3, 3, 'X', 'X', 4, 6]
G#maj7#5 [3, 3, 'X', 'X', 5, 4]
A6 [3, 3, 'X', 'X', 5, 5]
A#7 [3, 3, 'X', 'X', 5, 6]
Fmaj7b5 [3, 4, 'X', 'X', 1, 1]
F-5 [3, 4, 'X', 'X', 2, 1]
A#7 [3, 4, 'X', 'X', 4, 6]
A7 [3, 4, 'X', 'X', 5, 5]
A#dim7 [3, 4, 'X', 'X', 5, 6]
A#m7b5 [3, 4, 'X', 'X', 6, 6]
Asus4 [3, 5, 'X', 'X', 3, 5]
Amaj7b5 [3, 5, 'X', 'X', 4, 5]
A#maj7 [3, 5, 'X', 'X', 4, 6]
Asus2sus4 [3, 5, 'X', 'X', 5, 5]
A#m7b5 [3, 5, 'X', 'X', 5, 6]
A#m7 [3, 5, 'X', 'X', 6, 6]
Fm7 [4, 1, 'X', 'X', 2, 1]
F#add9 [4, 1, 'X', 'X', 2, 2]
F7 [4, 1, 'X', 'X', 3, 1]
F7 [4, 2, 'X', 'X', 2, 1]
F#7sus4 [4, 2, 'X', 'X', 2, 2]
Fdim7 [4, 2, 'X', 'X', 3, 1]
F#m7b5 [4, 2, 'X', 'X', 3, 2]
G#dim [4, 2, 'X', 'X', 3, 4]
Fm7b5 [4, 2, 'X', 'X', 4, 1]
F#m7 [4, 2, 'X', 'X', 4, 2]
Gmmaj7 [4, 2, 'X', 'X', 4, 3]
G#m [4, 2, 'X', 'X', 4, 4]
Fmaj7 [4, 3, 'X', 'X', 2, 1]
Fm7b5 [4, 3, 'X', 'X', 3, 1]
Gmaj7b5 [4, 3, 'X', 'X', 3, 3]
G#-5 [4, 3, 'X', 'X', 3, 4]
F6 [4, 3, 'X', 'X', 4, 1]
F#7 [4, 3, 'X', 'X', 4, 2]
Gmaj7 [4, 3, 'X', 'X', 4, 3]
G#maj [4, 3, 'X', 'X', 4, 4]
A#add9 [4, 3, 'X', 'X', 4, 6]
Gmaj7#5 [4, 3, 'X', 'X', 5, 3]
G#aug [4, 3, 'X', 'X', 5, 4]
Ammaj7 [4, 3, 'X', 'X', 5, 5]
Fmaj7 [4, 4, 'X', 'X', 1, 1]
